Geocod;V012;V013;V014;V015
1100015;1774;5037;0;459
1100023;9574;17195;0;386
1100031;474;1412;0;89
1100049;18428;5294;1;445
1100056;1816;3400;0;74
1100064;3617;2076;0;266
1100072;344;2126;0;172
1100080;609;2927;0;132
1100098;2385;5751;0;501
1100106;4779;5185;0;703
1100114;3910;11537;0;463
1100122;16502;18287;3;773
1100130;2895;5578;0;460
1100148;1674;3891;0;351
1100155;5408;5988;0;256
1100189;7079;2678;0;280
1100205;43953;64576;6;8243
1100254;2354;4062;0;360
1100262;81;896;0;20
1100288;7862;7518;0;410
1100296;523;2033;0;190
1100304;22200;873;1;432
1100320;470;5757;0;164
1100338;425;5557;0;323
1100346;2208;2518;1;266
1100379;257;3202;0;237
1100403;307;4525;0;239
1100452;32;8508;0;936
1100502;407;2357;0;219
1100601;160;1425;1;106
1100700;799;2538;0;300
1100809;3134;2317;0;231
1100908;284;771;0;53
1100924;1468;529;0;348
1100940;479;3845;0;261
1101005;15;2833;0;145
1101104;707;1617;0;140
1101203;552;2143;0;230
1101302;510;2887;0;118
1101401;1159;2840;0;68
1101435;195;1713;0;192
1101450;373;839;0;177
1101468;328;349;0;13
1101476;550;489;0;40
1101484;388;1279;0;143
1101492;1;4550;0;170
1101500;320;2933;0;83
1101559;145;1257;0;73
1101609;316;2634;0;118
1101708;611;3044;1;264
1101757;401;2219;0;160
1101807;125;2227;0;80
1200013;1003;2244;1;211
1200054;765;471;0;279
1200104;3307;2118;0;492
1200138;935;955;0;414
1200179;919;1109;0;316
1200203;9543;5162;14;3862
1200252;2653;1284;0;454
1200302;950;3943;0;2144
1200328;470;133;1;699
1200336;1935;943;0;708
1200344;1079;415;1;363
1200351;658;738;6;1346
1200385;1636;2701;1;404
1200393;655;100;0;947
1200401;49913;38736;34;5519
1200427;1351;887;0;893
1200435;390;148;0;262
1200450;1907;3268;0;426
1200500;3597;4084;0;1623
1200609;3162;1363;2;2960
1200708;2309;1586;0;595
1200807;984;2411;1;624
1300029;1184;30;1;1266
1300060;1094;7;127;419
1300086;997;104;9;757
1300102;1989;57;17;997
1300144;566;3429;0;599
1300201;1036;11;19;1799
1300300;1407;2550;3;2979
1300409;2176;37;1;2194
1300508;2789;47;0;2301
1300607;3100;82;202;2566
1300631;1527;49;5;1299
1300680;1538;72;1;1127
1300706;3860;944;1;2153
1300805;3405;230;1;3011
1300839;436;224;0;1563
1300904;1399;779;3;767
1301001;3333;53;35;1814
1301100;2651;1519;10;3145
1301159;648;213;3;4888
1301209;4054;839;30;10223
1301308;2668;190;0;1628
1301407;2802;468;0;2962
1301506;764;672;1;1762
1301605;2621;17;20;1242
1301654;894;745;3;997
1301704;6906;691;4;2123
1301803;1458;87;14;2162
1301852;6050;901;4;2842
1301902;14548;1097;4;4186
1301951;574;244;2;750
1302009;1351;110;1;298
1302108;595;13;7;642
1302207;932;48;13;1040
1302306;1991;25;3;1137
1302405;1950;1969;6;4189
1302504;10094;2678;39;5333
1302553;1712;289;2;2867
1302603;347376;65789;72;46998
1302702;3396;2493;1;3626
1302801;1363;26;5;1393
1302900;5198;189;0;4598
1303007;1731;67;0;1973
1303106;2590;526;1;2453
1303205;1719;344;0;1089
1303304;1055;1609;1;1587
1303403;14912;227;3;5515
1303502;1347;163;1;1513
1303536;4183;1845;4;1194
1303569;2846;1975;10;1255
1303601;1153;26;0;1424
1303700;1756;262;10;1942
1303809;2336;917;37;4186
1303908;2000;53;88;3184
1303957;1307;22;0;616
1304005;848;92;2;784
1304062;4084;3282;68;2565
1304104;1761;78;8;2037
1304203;9032;592;16;2511
1304237;364;541;52;1832
1304260;1317;19;1;844
1304302;2645;105;0;660
1304401;2092;40;2;1161
1400027;774;399;0;914
1400050;1669;741;0;1278
1400100;72877;2379;1;636
1400159;1243;1058;0;206
1400175;1712;1677;0;238
1400209;2922;1004;1;502
1400233;1133;903;1;118
1400282;1241;570;0;425
